"Experiment 76";"1";"16";"11";"2015-12-17 20:21:58.513"
"Experiment 76";"1";"6";"8";"2015-12-17 20:21:58.512"
"Experiment 76";"1";"5";"35";"2015-12-17 20:21:58.514"
"Experiment 76";"1";"6";"22";"2015-12-17 20:22:00.556"
"Experiment 76";"1";"16";"8";"2015-12-17 20:22:00.608"
"Experiment 76";"1";"5";"38";"2015-12-17 20:22:01.324"
"Experiment 76";"1";"6";"40";"2015-12-17 20:22:02.59"
"Experiment 76";"1";"16";"1";"2015-12-17 20:22:02.695"
"Experiment 76";"1";"5";"47";"2015-12-17 20:22:04.127"
"Experiment 76";"1";"5";"12";"2015-12-17 20:22:04.671"
"Experiment 76";"1";"6";"37";"2015-12-17 20:22:04.817"
"Experiment 76";"1";"16";"11";"2015-12-17 20:22:05.072"
"Experiment 76";"1";"6";"23";"2015-12-17 20:22:05.072"
"Experiment 76";"1";"5";"1";"2015-12-17 20:22:05.072"
"Experiment 76";"1";"6";"38";"2015-12-17 20:22:05.072"
"Experiment 76";"1";"6";"4";"2015-12-17 20:22:05.072"
"Experiment 76";"1";"6";"27";"2015-12-17 20:22:05.073"
"Experiment 76";"1";"6";"17";"2015-12-17 20:22:05.074"
"Experiment 76";"1";"16";"11";"2015-12-17 20:22:05.076"
"Experiment 76";"1";"5";"36";"2015-12-17 20:22:05.073"
"Experiment 76";"1";"5";"2";"2015-12-17 20:22:05.077"
"Experiment 76";"1";"6";"27";"2015-12-17 20:22:05.079"
"Experiment 76";"1";"16";"11";"2015-12-17 20:22:05.077"
"Experiment 76";"1";"6";"26";"2015-12-17 20:22:05.079"
"Experiment 76";"1";"5";"25";"2015-12-17 20:22:05.081"
"Experiment 76";"1";"6";"15";"2015-12-17 20:22:05.078"
"Experiment 76";"1";"16";"11";"2015-12-17 20:22:05.087"
"Experiment 76";"1";"5";"26";"2015-12-17 20:22:05.087"
"Experiment 76";"1";"16";"11";"2015-12-17 20:22:05.088"
"Experiment 76";"1";"5";"32";"2015-12-17 20:22:05.091"
"Experiment 76";"1";"5";"6";"2015-12-17 20:22:05.102"
"Experiment 76";"1";"5";"31";"2015-12-17 20:22:05.093"
"Experiment 76";"1";"16";"11";"2015-12-17 20:22:05.105"
"Experiment 76";"1";"5";"13";"2015-12-17 20:22:05.109"
"Experiment 76";"1";"5";"0";"2015-12-17 20:22:05.106"
"Experiment 76";"1";"5";"45";"2015-12-17 20:22:05.109"
"Experiment 76";"1";"6";"24";"2015-12-17 20:22:05.109"
"Experiment 76";"1";"5";"5";"2015-12-17 20:22:05.108"
"Experiment 76";"1";"16";"11";"2015-12-17 20:22:05.113"
"Experiment 76";"1";"16";"11";"2015-12-17 20:22:05.114"
"Experiment 76";"1";"6";"2";"2015-12-17 20:22:05.114"
"Experiment 76";"1";"16";"11";"2015-12-17 20:22:05.115"
"Experiment 76";"1";"16";"11";"2015-12-17 20:22:05.117"
"Experiment 76";"1";"6";"7";"2015-12-17 20:22:05.12"
"Experiment 76";"1";"5";"32";"2015-12-17 20:22:05.121"
"Experiment 76";"1";"16";"11";"2015-12-17 20:22:05.628"
"Experiment 76";"1";"5";"21";"2015-12-17 20:22:05.616"
"Experiment 76";"1";"16";"11";"2015-12-17 20:22:05.617"
"Experiment 76";"1";"16";"11";"2015-12-17 20:22:05.121"
"Experiment 76";"1";"6";"8";"2015-12-17 20:22:05.612"
"Experiment 76";"1";"5";"7";"2015-12-17 20:22:05.61"
"Experiment 76";"1";"6";"28";"2015-12-17 20:22:05.596"
"Experiment 76";"1";"16";"11";"2015-12-17 20:22:05.594"
"Experiment 76";"1";"16";"11";"2015-12-17 20:22:05.412"
"Experiment 76";"1";"5";"42";"2015-12-17 20:22:05.563"
"Experiment 76";"1";"5";"33";"2015-12-17 20:22:05.62"
"Experiment 76";"1";"6";"3";"2015-12-17 20:22:05.43"
"Experiment 76";"1";"6";"46";"2015-12-17 20:22:05.416"
"Experiment 76";"1";"5";"45";"2015-12-17 20:22:05.415"
"Experiment 76";"1";"16";"11";"2015-12-17 20:22:05.145"
"Experiment 76";"1";"6";"34";"2015-12-17 20:22:05.43"
"Experiment 76";"1";"6";"33";"2015-12-17 20:22:05.428"
"Experiment 76";"1";"6";"47";"2015-12-17 20:22:05.426"
"Experiment 76";"1";"5";"10";"2015-12-17 20:22:05.678"
"Experiment 76";"1";"6";"43";"2015-12-17 20:22:05.733"
"Experiment 76";"1";"6";"20";"2015-12-17 20:22:05.799"
"Experiment 76";"1";"16";"11";"2015-12-17 20:22:05.827"
"Experiment 76";"1";"5";"2";"2015-12-17 20:22:05.842"
"Experiment 76";"1";"5";"46";"2015-12-17 20:22:05.867"
"Experiment 76";"1";"16";"11";"2015-12-17 20:22:05.983"
