"2";"12";"0";"2015-12-17 08:19:04.345"
"2";"8";"1";"2015-12-17 08:19:05.296"
"2";"9";"1";"2015-12-17 08:19:05.307"
"2";"10";"1";"2015-12-17 08:19:05.318"
"2";"11";"1";"2015-12-17 08:19:05.339"
"2";"12";"0";"2015-12-17 08:19:05.396"
"2";"8";"1";"2015-12-17 08:19:05.883"
"2";"9";"1";"2015-12-17 08:19:05.893"
"2";"10";"1";"2015-12-17 08:19:05.904"
"2";"11";"1";"2015-12-17 08:19:05.915"
"2";"12";"1";"2015-12-17 08:19:06.476"
"2";"8";"1";"2015-12-17 08:19:06.831"
"2";"9";"0";"2015-12-17 08:19:06.843"
"2";"10";"0";"2015-12-17 08:19:06.854"
"2";"11";"0";"2015-12-17 08:19:06.864"
"2";"12";"0";"2015-12-17 08:19:08.038"
"2";"8";"1";"2015-12-17 08:19:08.358"
"2";"9";"1";"2015-12-17 08:19:08.369"
"2";"10";"1";"2015-12-17 08:19:08.384"
"2";"11";"1";"2015-12-17 08:19:08.394"
"2";"12";"0";"2015-12-17 08:19:10.85"
"2";"8";"1";"2015-12-17 08:19:11.205"
"2";"9";"1";"2015-12-17 08:19:11.229"
"2";"10";"1";"2015-12-17 08:19:11.24"
"2";"11";"0";"2015-12-17 08:19:11.25"
"2";"12";"0";"2015-12-17 08:19:13.661"
"2";"8";"1";"2015-12-17 08:19:14.063"
"2";"9";"1";"2015-12-17 08:19:14.073"
"2";"10";"1";"2015-12-17 08:19:14.084"
"2";"11";"1";"2015-12-17 08:19:14.095"
"2";"12";"0";"2015-12-17 08:31:52.833"
"2";"8";"1";"2015-12-17 08:31:53.243"
"2";"9";"1";"2015-12-17 08:31:53.254"
"2";"10";"1";"2015-12-17 08:31:53.278"
"2";"11";"1";"2015-12-17 08:31:53.299"
"2";"12";"0";"2015-12-17 08:31:53.891"
"2";"8";"1";"2015-12-17 08:31:54.253"
"2";"9";"1";"2015-12-17 08:31:54.272"
"2";"12";"1";"2015-12-17 08:31:54.316"
"2";"10";"1";"2015-12-17 08:31:54.328"
"2";"11";"1";"2015-12-17 08:31:54.378"
"2";"12";"0";"2015-12-17 08:31:55.227"
"2";"8";"1";"2015-12-17 08:31:55.281"
"2";"9";"0";"2015-12-17 08:31:55.426"
"2";"11";"0";"2015-12-17 08:31:55.428"
"2";"10";"0";"2015-12-17 08:31:55.518"
"2";"8";"1";"2015-12-17 08:31:56.173"
"2";"12";"0";"2015-12-17 08:31:56.278"
"2";"12";"1";"2015-12-17 08:31:56.59"
"2";"9";"1";"2015-12-17 08:31:57.028"
"2";"12";"0";"2015-12-17 08:31:57.133"
"2";"12";"0";"2015-12-17 08:31:57.234"
"2";"12";"0";"2015-12-17 08:31:57.235"
"2";"12";"0";"2015-12-17 08:31:57.403"
"2";"12";"0";"2015-12-17 08:31:57.411"
"2";"12";"0";"2015-12-17 08:31:57.534"
"2";"12";"1";"2015-12-17 08:31:57.543"
"2";"12";"0";"2015-12-17 08:31:57.565"
"2";"12";"0";"2015-12-17 08:31:57.605"
"2";"12";"0";"2015-12-17 08:31:57.611"
"2";"12";"0";"2015-12-17 08:31:57.622"
"2";"12";"1";"2015-12-17 08:31:57.624"
"2";"10";"1";"2015-12-17 08:31:57.745"
"2";"12";"0";"2015-12-17 08:31:57.921"
"2";"12";"0";"2015-12-17 08:31:58.124"
"2";"12";"1";"2015-12-17 08:31:58.24"
"2";"12";"0";"2015-12-17 08:31:58.297"
"2";"12";"0";"2015-12-17 08:31:58.664"
"2";"12";"0";"2015-12-17 08:31:58.706"
"2";"12";"0";"2015-12-17 08:31:59.125"
"2";"12";"0";"2015-12-17 08:31:59.267"
"2";"12";"0";"2015-12-17 08:31:59.268"
"2";"12";"0";"2015-12-17 08:31:59.381"
"2";"12";"1";"2015-12-17 08:31:59.438"
"2";"12";"0";"2015-12-17 08:31:59.593"
"2";"12";"0";"2015-12-17 08:31:59.624"
"2";"12";"0";"2015-12-17 08:32:00.484"
"2";"12";"0";"2015-12-17 08:32:00.648"
"2";"12";"0";"2015-12-17 08:32:00.653"
"2";"12";"1";"2015-12-17 08:32:00.653"
"2";"12";"0";"2015-12-17 08:32:00.703"
"2";"8";"1";"2015-12-17 08:32:00.723"
"2";"12";"0";"2015-12-17 08:32:00.747"
"2";"8";"1";"2015-12-17 08:32:00.781"
"2";"12";"0";"2015-12-17 08:32:00.925"
"2";"12";"0";"2015-12-17 08:32:00.952"
"2";"9";"1";"2015-12-17 08:32:01.081"
"2";"12";"0";"2015-12-17 08:32:01.226"
"2";"12";"0";"2015-12-17 08:32:01.266"
"2";"12";"0";"2015-12-17 08:32:01.396"
"2";"8";"1";"2015-12-17 08:32:01.45"
"2";"12";"1";"2015-12-17 08:32:01.535"
"2";"10";"0";"2015-12-17 08:32:01.618"
"2";"12";"0";"2015-12-17 08:32:01.72"
"2";"12";"0";"2015-12-17 08:32:01.918"
"2";"11";"0";"2015-12-17 08:32:01.938"
"2";"12";"0";"2015-12-17 08:32:01.998"
"2";"8";"1";"2015-12-17 08:32:02.117"
"2";"12";"1";"2015-12-17 08:32:02.247"
"2";"10";"1";"2015-12-17 08:32:02.303"
"2";"12";"0";"2015-12-17 08:32:02.304"
"2";"12";"0";"2015-12-17 08:32:02.369"
"2";"12";"0";"2015-12-17 08:32:02.388"
"2";"12";"0";"2015-12-17 08:32:02.398"
"2";"12";"0";"2015-12-17 08:32:02.553"
"2";"12";"0";"2015-12-17 08:32:02.577"
"2";"12";"0";"2015-12-17 08:32:02.61"
"2";"12";"0";"2015-12-17 08:32:02.611"
