"5";"35";"2015-12-18 17:33:52.55"
"6";"8";"2015-12-18 17:33:52.55"
"5";"38";"2015-12-18 17:33:55.055"
"6";"22";"2015-12-18 17:33:55.521"
"5";"47";"2015-12-18 17:33:57.566"
"6";"40";"2015-12-18 17:33:58.504"
"6";"14";"2015-12-18 17:34:00.129"
"5";"38";"2015-12-18 17:34:00.137"
"6";"12";"2015-12-18 17:34:00.139"
"5";"36";"2015-12-18 17:34:00.139"
"6";"13";"2015-12-18 17:34:00.151"
"5";"37";"2015-12-18 17:34:00.153"
"6";"16";"2015-12-18 17:34:00.156"
"5";"34";"2015-12-18 17:34:00.167"
"5";"39";"2015-12-18 17:34:00.167"
"6";"11";"2015-12-18 17:34:00.167"
"5";"42";"2015-12-18 17:34:00.184"
"6";"15";"2015-12-18 17:34:00.186"
"5";"26";"2015-12-18 17:34:00.189"
"6";"1";"2015-12-18 17:34:00.191"
"6";"0";"2015-12-18 17:34:00.215"
"6";"3";"2015-12-18 17:34:00.232"
"5";"41";"2015-12-18 17:34:00.251"
"6";"28";"2015-12-18 17:34:00.262"
"5";"31";"2015-12-18 17:34:00.279"
"6";"7";"2015-12-18 17:34:00.324"
"5";"28";"2015-12-18 17:34:00.331"
"6";"2";"2015-12-18 17:34:00.338"
"6";"6";"2015-12-18 17:34:00.339"
"5";"30";"2015-12-18 17:34:00.337"
"6";"29";"2015-12-18 17:34:00.354"
"6";"26";"2015-12-18 17:34:00.359"
"5";"27";"2015-12-18 17:34:00.361"
"5";"6";"2015-12-18 17:34:00.373"
"5";"3";"2015-12-18 17:34:00.377"
"6";"4";"2015-12-18 17:34:00.379"
"6";"27";"2015-12-18 17:34:00.381"
"6";"5";"2015-12-18 17:34:00.407"
"5";"2";"2015-12-18 17:34:00.431"
"5";"32";"2015-12-18 17:34:00.446"
"6";"32";"2015-12-18 17:34:00.456"
"6";"30";"2015-12-18 17:34:00.538"
"5";"5";"2015-12-18 17:34:00.587"
"5";"44";"2015-12-18 17:34:00.603"
"6";"33";"2015-12-18 17:34:00.634"
"5";"9";"2015-12-18 17:34:00.683"
"5";"7";"2015-12-18 17:34:00.714"
"5";"33";"2015-12-18 17:34:00.734"
"6";"17";"2015-12-18 17:34:00.938"
"5";"25";"2015-12-18 17:34:00.952"
"5";"4";"2015-12-18 17:34:00.97"
"6";"18";"2015-12-18 17:34:00.97"
"5";"8";"2015-12-18 17:34:00.999"
"6";"34";"2015-12-18 17:34:01.001"
"5";"14";"2015-12-18 17:34:01.449"
"6";"26";"2015-12-18 17:34:01.472"
"5";"46";"2015-12-18 17:34:01.477"
"6";"7";"2015-12-18 17:34:01.536"
"6";"34";"2015-12-18 17:34:01.668"
"6";"40";"2015-12-18 17:34:01.857"
"5";"19";"2015-12-18 17:34:01.876"
"6";"44";"2015-12-18 17:34:01.889"
"5";"42";"2015-12-18 17:34:02.085"
"5";"34";"2015-12-18 17:34:02.085"
"6";"12";"2015-12-18 17:34:02.092"
"6";"38";"2015-12-18 17:34:02.194"
"6";"43";"2015-12-18 17:34:02.196"
"5";"43";"2015-12-18 17:34:02.325"
"6";"32";"2015-12-18 17:34:02.329"
"6";"6";"2015-12-18 17:34:02.333"
"6";"2";"2015-12-18 17:34:02.333"
"5";"22";"2015-12-18 17:34:02.335"
"6";"36";"2015-12-18 17:34:02.524"
"5";"24";"2015-12-18 17:34:02.531"
"5";"31";"2015-12-18 17:34:02.548"
"6";"24";"2015-12-18 17:34:02.598"
"5";"23";"2015-12-18 17:34:02.658"
"5";"1";"2015-12-18 17:34:02.903"
"5";"3";"2015-12-18 17:34:03.062"
"5";"35";"2015-12-18 17:34:03.079"
"5";"10";"2015-12-18 17:34:03.116"
"5";"2";"2015-12-18 17:34:03.134"
"6";"39";"2015-12-18 17:34:03.138"
"5";"47";"2015-12-18 17:34:03.138"
"5";"48";"2015-12-18 17:34:03.282"
"6";"16";"2015-12-18 17:34:03.284"
"5";"48";"2015-12-18 17:34:03.29"
"5";"44";"2015-12-18 17:34:03.293"
"6";"4";"2015-12-18 17:34:03.297"
"6";"2";"2015-12-18 17:34:03.299"
"6";"16";"2015-12-18 17:34:03.299"
"6";"26";"2015-12-18 17:34:03.3"
"5";"28";"2015-12-18 17:34:03.301"
"5";"0";"2015-12-18 17:34:03.301"
"6";"30";"2015-12-18 17:34:03.303"
"6";"13";"2015-12-18 17:34:03.303"
"5";"3";"2015-12-18 17:34:03.303"
