Experimento  ; Dur  ; Msg Fusão  ; Msg Regras  ; Tm regras 
98 ; 47226 ; 1186.0 ; 568.0 ; 12796.649647887323
99 ; 47738 ; 596.0 ; 572.0 ; 1730.082167832168
100 ; 0 ; 599.0 ; 599.0 ; 1963.9549248747912
101 ; 41476 ; 584.0 ; 574.0 ; 1786.3188153310105
102 ; 40382 ; 588.0 ; 587.0 ; 2478.4923339011925
103 ; 41713 ; 594.0 ; 564.0 ; 2206.281914893617
104 ; 46615 ; 595.0 ; 568.0 ; 2274.887323943662
105 ; 40453 ; 597.0 ; 539.0 ; 2050.5899814471245
106 ; 42089 ; 578.0 ; 553.0 ; 2765.6781193490056
107 ; 17527 ; 5.0 ; 5.0 ; 456.2
108 ; 15336 ; 5.0 ; 5.0 ; 437.0
109 ; 13745 ; 5.0 ; 5.0 ; 414.2
110 ; 12868 ; 5.0 ; 5.0 ; 418.6
111 ; 13543 ; 5.0 ; 5.0 ; 406.0
112 ; 15805 ; 5.0 ; 5.0 ; 436.4
113 ; 12942 ; 5.0 ; 5.0 ; 387.8
114 ; 12037 ; 5.0 ; 5.0 ; 402.8
115 ; 13358 ; 5.0 ; 5.0 ; 410.0
116 ; 16841 ; 5.0 ; 5.0 ; 447.4
117 ; 15222 ; 5.0 ; 5.0 ; 396.4
118 ; 14238 ; 5.0 ; 5.0 ; 403.4
119 ; 12326 ; 5.0 ; 5.0 ; 392.2
120 ; 14464 ; 5.0 ; 5.0 ; 399.0
121 ; 13697 ; 5.0 ; 5.0 ; 477.4
122 ; 0 ; 20.0 ; 20.0 ; 320.7
123 ; 17167 ; 20.0 ; 20.0 ; 344.4
124 ; 13127 ; 20.0 ; 20.0 ; 332.15
125 ; 16569 ; 20.0 ; 20.0 ; 320.8
126 ; 13430 ; 20.0 ; 20.0 ; 333.65
127 ; 14073 ; 20.0 ; 20.0 ; 339.9
128 ; 17935 ; 20.0 ; 20.0 ; 364.5
129 ; 12731 ; 20.0 ; 20.0 ; 330.35
130 ; 15949 ; 20.0 ; 20.0 ; 326.45
131 ; 0 ; 20.0 ; 20.0 ; 342.75
132 ; 13680 ; 20.0 ; 20.0 ; 359.1
133 ; 15200 ; 20.0 ; 20.0 ; 407.55
134 ; 14423 ; 20.0 ; 20.0 ; 364.35
135 ; 13317 ; 20.0 ; 20.0 ; 320.25
136 ; 13424 ; 20.0 ; 20.0 ; 325.85
137 ; 19890 ; 60.0 ; 60.0 ; 510.1333333333333
138 ; 0 ; 60.0 ; 60.0 ; 587.6333333333333
139 ; 22952 ; 60.0 ; 60.0 ; 449.43333333333334
140 ; 0 ; 60.0 ; 60.0 ; 485.8666666666667
141 ; 0 ; 60.0 ; 60.0 ; 516.9833333333333
142 ; 22217 ; 60.0 ; 60.0 ; 438.01666666666665
143 ; 0 ; 60.0 ; 60.0 ; 501.26666666666665
144 ; 0 ; 60.0 ; 60.0 ; 479.68333333333334
145 ; 25717 ; 60.0 ; 60.0 ; 460.3
146 ; 23695 ; 60.0 ; 60.0 ; 435.1166666666667
147 ; 21141 ; 60.0 ; 60.0 ; 613.0833333333334
148 ; 0 ; 60.0 ; 60.0 ; 450.46666666666664
149 ; 23398 ; 60.0 ; 60.0 ; 413.8
150 ; 0 ; 60.0 ; 60.0 ; 424.55
151 ; 23587 ; 60.0 ; 60.0 ; 439.15
